index,player,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,team,MP,competition
133,Federico Nicolás Cartabia,52,17,21,1,10,3,2.1787349551,32.69230769230769,5.769230769230769,17.647058823529413,0.04189874913653846,RC Deportivo La Coruña,23,Spain - La Liga
134,Federico Ricca Rostagnol,2,1,0,0,1,1,0.319374878,50.0,50.0,100.0,0.159687439,Málaga,2,Spain - La Liga
135,Felipe Salvador Caicedo Corozo,42,18,13,0,5,8,7.426601118,42.857142857142854,19.047619047619047,44.44444444444444,0.17682383614285713,Espanyol,21,Spain - La Liga
136,Fernando Damián Tissone,8,1,4,0,2,0,0.2255235223,12.5,0.0,0.0,0.0281904402875,Málaga,6,Spain - La Liga
137,Fernando José Torres Sanz,57,23,13,2,12,11,7.838138895,40.35087719298245,19.298245614035086,47.82608695652174,0.13751120868421052,Atlético Madrid,25,Spain - La Liga
138,Fernando Llorente Torres,31,15,11,0,2,4,4.848640994,48.38709677419355,12.903225806451612,26.666666666666668,0.156407774,Sevilla,15,Spain - La Liga
139,Fernando Navarro i Corbacho,1,0,0,0,1,0,0.02207375,0.0,0.0,0.0,0.02207375,RC Deportivo La Coruña,1,Spain - La Liga
140,Filipe Luís Kasmirski,8,2,4,0,2,1,0.34777614,25.0,12.5,50.0,0.0434720175,Atlético Madrid,7,Spain - La Liga
141,Foued Kadir,10,1,4,0,5,0,0.35851372800000003,10.0,0.0,0.0,0.0358513728,Real Betis,5,Spain - La Liga
142,Francisco Alcácer García,63,28,19,0,12,13,13.127027984,44.44444444444444,20.634920634920633,46.42857142857143,0.20836552355555554,Valencia,29,Spain - La Liga
143,Francisco José Molinero Calderón,6,1,1,0,3,0,0.281783499,16.666666666666664,0.0,0.0,0.0469639165,Real Betis,6,Spain - La Liga
144,Francisco José Perdomo Borges,4,2,2,0,0,0,0.18017363,50.0,0.0,0.0,0.0450434075,Las Palmas,4,Spain - La Liga
145,Francisco José Sánchez Rodríguez,3,1,1,0,1,0,0.2139229738,33.33333333333333,0.0,0.0,0.07130765793333334,Sevilla,2,Spain - La Liga
146,Francisco Manuel Rico Castro,15,5,5,1,3,2,1.2488784,33.33333333333333,13.333333333333334,40.0,0.08325856,Granada,11,Spain - La Liga
147,Francisco Medina Luna,18,8,7,1,0,2,1.4544840023999999,44.44444444444444,11.11111111111111,25.0,0.0808046668,Rayo Vallecano,11,Spain - La Liga
