index,player,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,team,MP,competition
64,Daniel Schwaab,10,4,3,0,1,0,0.44101278,40.0,0.0,0.0,0.044101278,VfB Stuttgart,7,Germany - 1. Bundesliga
65,Daniel Tawiah Opare,2,0,1,0,1,0,0.047306825,0.0,0.0,0.0,0.0236534125,Augsburg,2,Germany - 1. Bundesliga
66,Danilo Teodoro Soares,1,0,0,0,0,0,0.016210642,0.0,0.0,0.0,0.016210642,Ingolstadt,1,Germany - 1. Bundesliga
67,Danny Latza,27,10,13,1,2,0,1.009655601,37.03703703703704,0.0,0.0,0.03739465188888889,FSV Mainz 05,17,Germany - 1. Bundesliga
68,Danny Vieira da Costa,6,1,2,0,2,0,0.43772484899999997,16.666666666666664,0.0,0.0,0.0729541415,Ingolstadt,6,Germany - 1. Bundesliga
69,Dante Bonfim da Costa Santos,15,2,6,0,1,1,0.905283074,13.333333333333334,6.666666666666667,50.0,0.060352204933333334,Wolfsburg,11,Germany - 1. Bundesliga
70,Dario Lezcano,29,9,9,0,7,2,3.701558225,31.03448275862069,6.896551724137931,22.22222222222222,0.12763993879310345,Ingolstadt,13,Germany - 1. Bundesliga
71,David Olatukunbo Alaba,28,7,10,1,9,1,0.9668499255,25.0,3.571428571428571,14.285714285714285,0.03453035448214286,Bayern Munich,16,Germany - 1. Bundesliga
72,David Ángel Abraham,11,2,6,0,3,0,0.746857093,18.181818181818183,0.0,0.0,0.06789609936363637,Eintracht Frankfurt,9,Germany - 1. Bundesliga
73,Dennis Aogo,7,2,4,0,1,0,0.7248046293,28.57142857142857,0.0,0.0,0.10354351847142858,Schalke 04,6,Germany - 1. Bundesliga
74,Dennis Diekmeier,4,1,2,0,1,0,0.060938529,25.0,0.0,0.0,0.01523463225,Hamburger SV,3,Germany - 1. Bundesliga
75,Dominik Kohr,23,2,13,0,7,0,1.1867371093,8.695652173913043,0.0,0.0,0.051597265621739136,Augsburg,13,Germany - 1. Bundesliga
76,Dominik Maroh,18,5,6,0,4,2,1.40679785,27.77777777777778,11.11111111111111,40.0,0.07815543611111112,FC Köln,12,Germany - 1. Bundesliga
77,Dominik Stroh-Engel,6,2,2,1,0,0,0.840912432,33.33333333333333,0.0,0.0,0.140152072,Darmstadt 98,5,Germany - 1. Bundesliga
78,Dominique Heintz,10,3,5,0,1,2,0.66881378,30.0,20.0,66.66666666666666,0.066881378,FC Köln,8,Germany - 1. Bundesliga
79,Dong-Won Ji,13,3,2,1,4,0,1.2158998699999999,23.076923076923077,0.0,0.0,0.09353075923076923,Augsburg,9,Germany - 1. Bundesliga
80,Douglas Costa de Souza,64,26,18,1,18,4,3.1952323838,40.625,6.25,15.384615384615385,0.049925505996875,Bayern Munich,25,Germany - 1. Bundesliga
81,Dušan Švento,3,1,1,0,0,1,0.353612612,33.33333333333333,33.33333333333333,100.0,0.11787087066666667,FC Köln,2,Germany - 1. Bundesliga
82,Edgar Prib,23,9,8,0,3,0,1.359534617,39.130434782608695,0.0,0.0,0.05911020073913043,Hannover 96,12,Germany - 1. Bundesliga
83,Eduardo Jesús Vargas Rojas,33,13,8,3,6,2,3.447187505,39.39393939393939,6.0606060606060606,15.384615384615385,0.10446022742424242,Hoffenheim,18,Germany - 1. Bundesliga
84,Elias Kachunga,4,1,2,0,1,0,0.376303644,25.0,0.0,0.0,0.094075911,Ingolstadt,3,Germany - 1. Bundesliga
85,Emiliano Adrián Insúa Zapata,22,3,12,0,4,0,0.7157601553,13.636363636363635,0.0,0.0,0.032534552513636364,VfB Stuttgart,15,Germany - 1. Bundesliga
86,Emir Spahić,10,1,4,0,2,0,0.8623782520000001,10.0,0.0,0.0,0.0862378252,Hamburger SV,8,Germany - 1. Bundesliga
87,Erik Durm,12,4,4,0,4,1,1.421064859,33.33333333333333,8.333333333333332,25.0,0.11842207158333333,Borussia Dortmund,9,Germany - 1. Bundesliga
88,Ermin Bičakčić,8,0,2,1,2,0,0.976166784,0.0,0.0,0.0,0.122020848,Hoffenheim,7,Germany - 1. Bundesliga
89,Eugen Polanski,24,5,11,1,6,1,1.5745032603,20.833333333333336,4.166666666666666,20.0,0.0656043025125,Hoffenheim,14,Germany - 1. Bundesliga
90,Fabian Frei,11,3,3,1,3,0,0.577496491,27.27272727272727,0.0,0.0,0.052499681,FSV Mainz 05,8,Germany - 1. Bundesliga
91,Fabian Holland,3,0,1,1,1,0,0.034541468,0.0,0.0,0.0,0.011513822666666666,Darmstadt 98,3,Germany - 1. Bundesliga
92,Fabian Johnson,26,11,6,1,5,6,3.550033083,42.30769230769231,23.076923076923077,54.54545454545454,0.13653973396153846,Borussia Mönchengladbach,17,Germany - 1. Bundesliga
93,Fabian Lukas Schär,18,3,10,0,3,1,1.1691647187,16.666666666666664,5.555555555555555,33.33333333333333,0.06495359548333333,Hoffenheim,14,Germany - 1. Bundesliga
94,Fabian Lustenberger,10,4,2,1,1,1,0.79519226,40.0,10.0,25.0,0.079519226,Hertha Berlin,8,Germany - 1. Bundesliga
95,Federico Barba,1,1,0,0,0,1,0.09638612,100.0,100.0,100.0,0.09638612,VfB Stuttgart,1,Germany - 1. Bundesliga
96,Felix Klaus,19,8,5,0,6,1,0.954723985,42.10526315789473,5.263157894736842,12.5,0.05024863078947368,Hannover 96,9,Germany - 1. Bundesliga
97,Felix Kroos,7,0,4,0,3,0,1.087298366,0.0,0.0,0.0,0.15532833799999998,Werder Bremen,6,Germany - 1. Bundesliga
98,Felix Platte,4,0,3,0,1,0,0.320729054,0.0,0.0,0.0,0.0801822635,Darmstadt 98,3,Germany - 1. Bundesliga
99,Felix Wiedwald,1,0,1,0,0,0,0.06938283,0.0,0.0,0.0,0.06938283,Werder Bremen,1,Germany - 1. Bundesliga
100,Filip Kostić,47,18,13,1,14,5,4.8148091752,38.297872340425535,10.638297872340425,27.77777777777778,0.10244274840851063,VfB Stuttgart,23,Germany - 1. Bundesliga
101,Filip Mladenović,13,5,5,0,2,0,0.5377808119,38.46153846153847,0.0,0.0,0.041367754761538464,FC Köln,7,Germany - 1. Bundesliga
102,Fin Bartels,43,20,9,2,8,8,7.130855083,46.51162790697674,18.6046511627907,40.0,0.1658338391395349,Werder Bremen,22,Germany - 1. Bundesliga
103,Florian Grillitsch,28,7,8,0,11,1,2.1785521685,25.0,3.571428571428571,14.285714285714285,0.07780543458928571,Werder Bremen,18,Germany - 1. Bundesliga
104,Florian Jungwirth,8,3,4,0,1,0,0.2692674385,37.5,0.0,0.0,0.0336584298125,Darmstadt 98,6,Germany - 1. Bundesliga
105,Florian Klein,14,2,6,0,3,0,0.60190765,14.285714285714285,0.0,0.0,0.04299340357142857,VfB Stuttgart,9,Germany - 1. Bundesliga
106,Florian Kohls,1,0,1,0,0,0,0.019581541,0.0,0.0,0.0,0.019581541,Hertha Berlin,1,Germany - 1. Bundesliga
107,Florian Niederlechner,5,2,2,1,0,0,1.479893304,40.0,0.0,0.0,0.2959786608,FSV Mainz 05,4,Germany - 1. Bundesliga
108,Franck Bilal Ribéry,14,7,4,0,3,2,1.684574394,50.0,14.285714285714285,28.57142857142857,0.12032674242857143,Bayern Munich,7,Germany - 1. Bundesliga
109,Franco Matías Di Santo,23,8,7,0,4,2,1.632220022,34.78260869565217,8.695652173913043,25.0,0.07096608791304349,Schalke 04,14,Germany - 1. Bundesliga
110,Frederik Hillesborg Sørensen,4,2,1,0,1,0,0.351399475,50.0,0.0,0.0,0.08784986875,FC Köln,3,Germany - 1. Bundesliga
111,Fynn Arkenberg,1,0,0,0,1,0,0.030612161,0.0,0.0,0.0,0.030612161,Hannover 96,1,Germany - 1. Bundesliga
112,Gaëtan Bussmann,7,1,4,0,1,1,0.354069605,14.285714285714285,14.285714285714285,100.0,0.05058137214285714,FSV Mainz 05,6,Germany - 1. Bundesliga
113,Genki Haraguchi,31,13,9,0,8,2,2.641306713,41.935483870967744,6.451612903225806,15.384615384615385,0.08520344235483872,Hertha Berlin,19,Germany - 1. Bundesliga
114,Georg Niedermeier,10,5,1,0,2,3,1.389492751,50.0,30.0,60.0,0.1389492751,VfB Stuttgart,8,Germany - 1. Bundesliga
115,Gian-Luca Waldschmidt,5,1,2,0,2,0,0.49301822,20.0,0.0,0.0,0.098603644,Eintracht Frankfurt,4,Germany - 1. Bundesliga
116,Gideon Jung,9,2,3,0,2,0,0.406603479,22.22222222222222,0.0,0.0,0.04517816433333333,Hamburger SV,7,Germany - 1. Bundesliga
117,Giulio Donati,3,0,1,1,1,0,0.071605302,0.0,0.0,0.0,0.023868433999999997,Bayer Leverkusen,3,Germany - 1. Bundesliga
118,Gojko Kačar,8,4,1,0,2,1,0.659052372,50.0,12.5,25.0,0.0823815465,Hamburger SV,6,Germany - 1. Bundesliga
119,Gonzalo Alejandro Jara Reyes,1,0,0,0,1,0,0.027250867,0.0,0.0,0.0,0.027250867,FSV Mainz 05,1,Germany - 1. Bundesliga
120,Gonzalo Castro Randon,19,12,4,1,1,3,1.420698112,63.1578947368421,15.789473684210526,25.0,0.07477358484210526,Borussia Dortmund,13,Germany - 1. Bundesliga
121,Gotoku Sakai,11,5,4,0,2,0,0.3679212,45.45454545454545,0.0,0.0,0.03344738181818182,Hamburger SV,7,Germany - 1. Bundesliga
122,Granit Xhaka,33,12,11,0,9,3,2.3708822592,36.36363636363637,9.090909090909092,25.0,0.07184491694545454,Borussia Mönchengladbach,22,Germany - 1. Bundesliga
123,Gustavo Adrián Ramos Vásquez,38,15,11,0,8,9,7.032873515,39.473684210526315,23.684210526315788,60.0,0.1850756188157895,Borussia Dortmund,16,Germany - 1. Bundesliga
124,György Garics,3,1,0,0,1,0,0.074839823,33.33333333333333,0.0,0.0,0.024946607666666665,Darmstadt 98,3,Germany - 1. Bundesliga
125,Hakan Çalhanoğlu,86,32,21,4,27,3,5.3141085596,37.2093023255814,3.488372093023256,9.375,0.06179195999534884,Bayer Leverkusen,29,Germany - 1. Bundesliga
